"","ArrDelay","Month","DayOfWeek","CRSDepTime","CRSArrTime","AirTime","Distance","TaxiIn","TaxiOut","DepDelay","Diverted","Carrier","Weather","NAS","Security","LateAircraft"
"317",-5,7,7,705,830,92,652,22,9,17,0,0,0,0,0,0
"319",17,1,4,840,1132,85,606,22,12,10,0,1,0,1,0,1
"320",-7,2,4,820,951,73,414,4,14,-7,0,0,0,0,0,0
"321",-12,2,4,1310,1421,93,669,9,14,3,0,0,0,0,0,0
"322",-7,12,4,1210,1310,43,276,6,9,-5,0,0,0,0,0,0
"323",-3,10,4,1840,2005,69,396,5,12,-4,0,0,0,0,0,0
"324",0,11,6,615,823,106,640,8,16,-2,0,0,0,0,0,0
"325",0,8,7,905,1050,60,301,12,33,0,0,0,0,0,0,0
"326",64,8,1,1555,1908,328,2576,6,54,49,0,0,0,1,0,1
"327",10,11,1,1445,1809,120,888,5,14,15,0,0,0,0,0,0
"328",142,12,5,715,925,88,583,28,14,142,0,0,1,0,0,0
"329",8,3,6,1343,1439,33,135,10,13,8,0,0,0,0,0,0
"330",-4,11,5,2015,2135,58,373,4,5,9,0,0,0,0,0,0
"331",-13,3,2,635,840,89,544,5,21,-3,0,0,0,0,0,0
"332",-3,9,5,650,855,49,271,5,9,-1,0,0,0,0,0,0
"333",-22,1,1,1210,1518,138,1011,4,30,-6,0,0,0,0,0,0
"334",-15,2,5,1420,2135,288,2504,5,10,-3,0,0,0,0,0,0
"335",-7,6,1,1900,1920,59,368,5,11,-2,0,0,0,0,0,0
"336",29,6,2,1445,1805,103,853,7,11,48,0,0,0,0,0,1
"337",25,4,4,600,740,94,525,11,11,9,0,1,0,1,0,0
"338",-11,10,6,1600,1752,92,516,9,10,-10,0,0,0,0,0,0
"339",-16,9,1,1330,1436,33,157,9,10,-2,0,0,0,0,0,0
"340",19,3,6,955,1055,190,1099,4,7,-2,0,0,0,1,0,0
"341",7,8,7,1230,1315,92,518,9,6,5,0,0,0,0,0,0
"342",35,5,2,1445,1545,231,1624,4,9,31,0,0,0,1,0,1
"343",-10,12,2,1240,1422,62,526,5,21,4,0,0,0,0,0,0
"345",90,5,5,1910,2012,98,680,7,22,85,0,1,0,1,0,0
"346",-6,11,1,1635,1715,21,89,7,12,-6,0,0,0,0,0,0
"347",6,1,6,842,1118,190,1297,4,57,-29,0,0,0,0,0,0
"348",-11,5,6,1600,1828,67,513,5,7,-2,0,0,0,0,0,0
"349",-16,10,1,1350,1515,56,408,2,13,-2,0,0,0,0,0,0
"350",-8,1,5,1710,1744,20,100,5,6,-5,0,0,0,0,0,0
"351",0,5,4,1000,1103,46,215,11,9,-3,0,0,0,0,0,0
"352",-17,4,2,1515,1752,69,503,9,11,-9,0,0,0,0,0,0
"353",1,12,3,1710,1900,201,1438,2,13,15,0,0,0,0,0,0
"354",68,6,2,1040,1210,140,888,6,50,22,0,0,0,1,0,1
"355",-19,8,4,1110,1252,131,861,9,12,-9,0,0,0,0,0,0
"356",-4,12,1,1300,1555,92,646,4,6,9,0,0,0,0,0,0
